country_name,country_code,percent_2000,percent_2002,percent_2004,percent_2006,percent_2008,percent_2010,percent_2012,percent_2014,percent_2016,percent_2018,percent_2020,population_2000,population_2002,population_2004,population_2006,population_2008,population_2010,population_2012,population_2014,population_2016,population_2018,population_2020
Dominican Republic,,30.15545839,27.79213589,25.42881339,23.0654909,20.7021684,18.3388459,15.97552341,13.61220091,11.24887841,11.24887841,11.24887841,1594.535601,1555.551137,1527.827698,1485.207948,1422.403551,1338.745654,1229.747226,1100.173742,951.5359882,992.5226265,1031.395713
Eastern and South-Eastern Asia,,37.54890255,35.9109381,34.23243752,32.44926569,30.64436154,28.83327509,27.08828081,25.32992274,23.5544118,22.43234865,21.70218696,313358.3055,320173.2671,325835.4019,328455.7123,328509.2393,326680.2344,322499.5946,316089.0731,307326.606,305118.7642,306620.1722
Ecuador,,57.41272727,57.84727273,57.8,57.8,,,,,,,,4371.953346,4621.663312,4803.352822,4997.898374,,,,,,,
Egypt,,42.22615658,36.71599159,31.20582659,25.6956616,20.18549661,14.67533161,9.165166617,3.655001623,0.899919126,0.899919126,,12632.93481,11430.75809,10110.64257,8650.595311,7036.117897,5309.916095,3456.412819,1437.569924,367.9712611,381.90344,
El Salvador,,,49.5,49.5,46.49142857,40.48857143,34.48571429,28.48285714,22.48,16.47714286,16.5,16.5,,1764.670545,1815.101145,1751.02899,1575.376304,1391.463396,1190.550673,972.5099776,737.0369351,761.938155,785.15382
Europe and Northern America,,1.40340216,1.355997608,1.268496787,1.155685312,1.039179027,0.939087538,0.850405811,0.763869954,0.847102137,0.781549959,0.685929635,10724.75119,10479.06345,9922.693046,9160.601434,8354.121111,7651.143835,7010.275621,6364.999599,7135.92954,6658.011091,5908.908036
Fiji,,,15,15,14.5,13.5,12.5,11.4,10.4,9.4,9.4,9.4,,59.577,60.73665,60.304195,58.229955,56.0805,52.977624,49.946312,46.664514,48.232904,49.771966
Georgia,,13.6,13.6,13.21479628,12.44783151,11.68086675,10.91390199,10.14693722,9.379972462,8.613007698,7.846042935,7.079078172,338.04296,329.847872,318.8133033,298.330954,277.6647155,256.4822628,234.6759289,213.7061638,195.5435254,179.7399761,164.0773165
Guatemala,,55.49608626,53.25944089,51.02279553,48.78615016,46.54950479,44.31285942,42.07621406,39.83956869,37.60292332,37.6,37.6,2931.003043,2991.413963,3043.705171,3085.61618,3116.941342,3138.020901,3148.486098,3148.750191,3137.662752,3310.445376,3490.894168
Haiti,,61.28330097,59.9776699,58.67203883,57.36640777,56.0607767,54.75514563,53.44951456,52.1438835,50.83825243,49.53262136,48.9,1865.166458,2063.101093,2229.991597,2353.670855,2478.28268,2601.242848,2721.003611,2836.067758,2944.547005,3042.792893,3174.355725
Honduras,,44.4,44.4,43.24,40.9,38.56,36.22,33.88,31.54,31.5,31.5,,1316.820084,1420.311156,1492.957858,1518.931112,1535.033498,1540.010291,1533.134372,1514.619873,1602.147645,1693.69263,
Hungary,,15.4,14.2,12.9,11.6,10.4,9.1,7.9,7.2,7.2,,,1016.435574,939.658304,859.847436,780.318196,705.989856,622.562395,543.279287,496.197144,497.033136,,
India,,55.29477059,54.59655703,53.89834347,53.20012991,52.50191635,51.80370279,51.10548923,50.40727566,49.7090621,49.01084854,49.01084854,161101.4701,168051.011,175429.976,182790.229,190103.2118,197239.7771,204193.1816,211207.3283,218417.4925,225832.0722,236770.7428
Indonesia,,35.12568442,33.47148913,31.81729385,30.16309857,28.50890328,26.854708,25.20051272,23.54631743,21.89212215,20.23792687,19.41082923,31209.69292,31718.87912,32122.63487,32401.44571,32542.26024,32508.4243,32160.35731,31619.85097,30861.96494,29871.78841,29929.27535
Iraq,,33.89419328,35.43866808,36.98314289,38.5276177,40.0720925,41.61656731,43.16104212,44.70551692,46.24999173,47.79446654,49.33894134,5471.014938,6063.341351,6687.52711,7343.941077,8040.667725,8846.879427,9822.33661,10916.89679,12060.51646,13250.44566,14516.84623
Ireland,,6.2,6.4,6.7,6.9,7.2,7.5,7.7,8,8.3,8.5,8.5,141.157756,151.7952,166.534262,180.351303,197.63928,213.56355,223.125133,233.71768,246.094004,257.93488,264.46356
Jordan,,40.01581108,37.6864593,35.35710752,33.02775574,30.69840395,28.36905217,26.03970039,23.71034861,21.38099682,19.05164504,16.72229326,1598.327533,1560.17193,1532.918357,1586.957241,1667.364164,1754.110695,1835.340839,1879.845351,1829.802385,1716.624281,1560.625242
